Mailing Address (Zip),Does your company currently have a trade relationship with a buyer?,Spring Capable Volume,Summer Capable Volume,Fall Capable Volume,Winter Capable Volume
2806,no,0.5,0.5,0.5,0.5
2021,yes,2,2,2,2
2703,yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1301,yes,4,4,4,4
2568,no,2,2,2,2
1035,yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2760,yes,0.5,2,2,2
1351,yes,2,15,21,15
3281,no,2,4,4,4
2909,yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2114,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2054,yes,0.5,0.5,0.5,0.5
5701,yes,2,2,2,2
1373,yes,4,4,4,4
1844,yes,4,21,7.5,Not Applicable
1523,yes,0.5,4,2,Not Applicable
2118,yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2131,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1375,yes,7.5,7.5,7.5,2
1754,no,7.5,15,4,0.5
1921,no,0.5,0.5,0.5,0.5
1342,yes,21,21,21,21
2494,yes,21,21,21,21
2917,yes,2,2,2,2
1035,yes,4,15,15,4
1886,yes,2,2,2,2
1002,no,0.5,2,2,Not Applicable
1852,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1915,yes ,0.5,0.5,0.5,0.5
2715,no,2,21,21,2
2130,no,0.5,0.5,0.5,0.5
1921,yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2126,no,0.5,0.5,0.5,0.5
1035,yes,4,4,4,Not Applicable